"","adm2_code","mean","date"
"49","77364",34.6919603287153,2024-10-28
"50","77317",23.0018302285767,2024-10-28
"51","77364",35.1537926884362,2024-10-29
"52","77317",27.8448515983124,2024-10-29
"53","77317",25.8268581663079,2024-10-30
"54","77364",34.3082450025624,2024-10-31
"55","77317",26.1969458820167,2024-10-31
"56","77364",39.0899662628096,2024-11-01
"57","77317",31.4682975189533,2024-11-01
"58","77364",41.0639571609275,2024-11-02
"59","77317",30.3761527833348,2024-11-02
"60","77364",37.9553735019017,2024-11-03
"61","77317",21.7133951388893,2024-11-03
"62","77364",43.2535631814835,2024-11-04
"63","77317",12.1152653938783,2024-11-04
"64","77364",35.8701818454182,2024-11-05
"65","77317",28.5986866144396,2024-11-05
"66","77364",39.7912001161671,2024-11-06
"67","77317",28.6563797516934,2024-11-06
"68","77364",35.4155357371969,2024-11-07
"69","77317",15.5655158141041,2024-11-07
"70","77317",16.5549513229972,2024-11-08
"71","77317",29.717356975487,2024-11-09
"72","77317",26.1441357792764,2024-11-10
"73","77364",21.8,2024-11-11
"74","77317",33.2461130614298,2024-11-11
"75","77364",27.7182102100899,2024-11-12
"76","77317",31.3379252236916,2024-11-12
"77","77364",30.6759306536807,2024-11-13
"78","77317",29.9784730369455,2024-11-13
"79","77364",30.9792512092652,2024-11-14
"80","77317",32.5401563449953,2024-11-14
"81","77364",28.76,2024-11-15
"82","77317",33.4103993148168,2024-11-15
"83","77364",32.6714949061803,2024-11-16
"84","77317",30.7413515265643,2024-11-16
"85","77364",36.6836341213903,2024-11-17
"86","77317",35.9419027302964,2024-11-17
"87","77364",37.8536659096157,2024-11-18
"88","77317",33.1838514375411,2024-11-18
"89","77364",34.9713728887536,2024-11-19
"90","77317",4.34588696562383,2024-11-19
"91","77364",34.812437388313,2024-11-20
"92","77364",34.7409022294077,2024-11-21
"93","77317",32.7929444712516,2024-11-21
"94","77317",31.2715298063532,2024-11-22
"95","77364",40.9432509277473,2024-11-23
"96","77317",32.4518640021814,2024-11-23
"97","77364",39.1773458961464,2024-11-24
